calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw018	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	18	11685003
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw019	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	19	901846917
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw000	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	0	1302191303
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw001	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	1	1710411931
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw002	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	2	285510452
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw003	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	3	177393504
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw004	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	4	97253296
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw005	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	5	702262854
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw006	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	6	154515607
han_calibration__s0.010000__af0.100000__m0.500000__q5__draw007	0.01	0.1	0.07500000000000001	0.125	0.5	1453.301330161558	818.6986698384419	1862.6506650807792	1865.0	5.0	500	7	1120168410
